structure,yield(%),ee(%),temp(℃),time(h),product
Xu01-1a-2a,33,2,25,72,
Xu02-1a-2a,81,85,25,72,
Xu02-7a-2a,,44,30,36,
Xu03-1a-2a,68,86,25,72,
Xu03-7a-2a,,44,30,36,
Xu04-1a-2a,48,80,25,72,
Xu04-7a-2a,,41,30,36,
Xu05-1a-2a,23,78,25,72,
Xu06-1a-2a,35,82,25,72,
Xu07-1a-2a,43,82,25,72,
Xu08-1a-2a,74,92,25,72,
Xu08-7a-2a,,63,30,36,
Xu09-1a-2a,63,90,25,72,
Xu09-7a-2a,,92,30,36,
Xu10-1a-2a,58,89,25,72,
Xu11-1a-2a,52,84,25,72,
Xu11-7a-2a,,44,30,36,
Xu12-7a-2a,,76,30,36,
Xu13-7a-2a,,54,30,36,
Xu14-7a-2a,,43,30,36,
Xu15-7a-2a,,70,30,36,
Xu16-7a-2a,,63,30,36,
Xu17-7a-2a,,67,30,36,
Xu18-7a-2a,,23,30,36,
Xu19-7a-2a,,33,30,36,
Xu20-7a-2a,,50,30,36,
Xu21-7a-2a,,37,30,36,
Xu22-7a-2a,,59,30,36,
Xu23-7a-2a,,43,30,36,
Xu24-7a-2a,,40,30,36,
Xu25-7a-2a,34,86,30,36,
Xu26-7a-2a,,60,30,36,
Xu27-7a-2a,,64,30,36,
Xu28-7a-2a,,45,30,36,
Xu29-7a-2a,,74,30,36,
Xu30-7a-2a,,47,30,36,
Xu08-1a-2b,61,91,25,72,3b
Xu08-1a-2c,51,91,25,72,3c
Xu08-1a-2d,74,90,25,72,3d
Xu08-1a-2e,77,91,25,72,3e
Xu08-1a-2f,63,92,25,72,3f
Xu08-1a-2g,42,84,25,72,3g
Xu08-1a-2h,64,90,25,72,3h
Xu08-1a-2i,48,88,25,72,3i
Xu08-1a-2j,41,90,25,72,3j
Xu08-1a-2k,65,93,25,72,3k
Xu08-1a-2l,56,91,25,72,3l
Xu08-1a-2m,83,92,25,72,3m
Xu08-1a-2n,60,90,25,72,3n
Xu08-1a-2o,62,87,25,72,3o
Xu08-1b-2a,63,88,25,72,4a
Xu08-1c-2a,60,87,25,72,4b
Xu08-1d-2a,75,85,25,72,4c
Xu08-1e-2a,54,88,25,72,4d
Xu08-1f-2a,79,93,25,72,4e
Xu08-1g-2a,87,91,25,72,4f
Xu08-1g-2h,43,89,25,72,4g
Xu08-1g-2e,68,91,25,72,4h
Xu08-1g-2b,47,90,25,72,4i
Xu08-1g-2k,73,89,25,72,4j
Xu08-1g-2l,71,87,25,72,4k
Xu08-1g-2m,56,83,25,72,4l
Xu08-5a-2a,63,88,25,72,6a
Xu08-5b-2b,91,90,25,72,6b
Xu08-5b-2a,89,90,25,72,6c
Xu08-5b-2e,91,91,25,72,6d
Xu08-5b-2h,93,90,25,72,6e
Xu08-5b-2k,95,91,25,72,6f
Xu08-5b-2l,95,87,25,72,6g
Xu08-5b-2m,96,92,25,72,6h
Xu09-7a-2b,73,92,0,72,8b
Xu09-7a-2c,64,92,0,72,8c
Xu09-7a-2p,54,94,0,72,8d
Xu09-7a-2q,67,96,0,72,8e
Xu09-7a-2r,53,92,0,72,8f
Xu09-7a-2s,57,93,0,72,8g
Xu09-7a-2t,56,91,0,72,8h
Xu09-7a-2v,56,94,0,72,8j
Xu09-7a-2f,44,91,0,72,8k
Xu09-7a-2g,37,92,0,72,8l
Xu09-7a-2w,52,91,0,72,8m
Xu09-7a-2x,49,92,0,72,8n
Xu09-7a-2h,50,91,0,72,8o
Xu09-7a-2y,58,91,0,72,8p
Xu09-7a-2j,65,91,0,72,8q
Xu09-7a-2k,66,92,0,72,8r
Xu09-7a-2l,58,90,0,72,8s
Xu09-7a-2m,73,91,0,72,8t
Xu09-7a-2z,34,87,0,72,8u
Xu09-7a-2aa,82,95,0,72,8v
Xu09-9a-2b,63,93,0,72,10a
Xu09-9b-2b,63,92,0,72,10b
Xu09-9c-2b,69,93,0,72,10c
Xu09-9d-2b,78,94,0,72,10d
Xu09-9e-2b,76,93,0,72,10e
Xu09-9f-2b,63,90,0,72,10f
Xu09-9g-2b,64,90,0,72,10g
Xu09-9h-2b,62,90,0,72,10h
Xu09-9i-2b,71,90,0,72,10i
Xu09-9j-2b,71,91,0,72,10j
Xu09-9k-2b,67,90,0,72,10k
Xu09-9l-2b,69,88,0,72,10l
Xu09-9m-2b,65,85,0,72,10m
Xu09-9n-2b,67,87,0,72,10n
Xu09-9o-2b,72,87,0,72,10o
Xu09-9p-2b,74,82,0,72,10p
Xu09-9q-2b,81,81,0,72,10q
