structure,xtb-mod-gau-sp_SPE_diff,xtb-mod-gau-sp_ForceRMS_diff,xtb-mod-gau-sp_ForceMax_diff,xtb-mod-gau-sp_EHOMO_diff,xtb-mod-gau-sp_ELUMO_diff,xtb-mod-gau-sp_charge-1_diff,xtb-mod-gau-sp_charge-2_diff,xtb-mod-gau-sp_charge-4_diff,xtb-mod-gau-sp_charge-8_diff,xtb-mod-gau-sp_charge-9_diff,xtb-mod-gau-sp_charge-11_diff,xtb-mod-gau-sp_charge-12_diff,xtb-mod-gau-sp_charge-13_diff
Xu01-1a-2a,-0.002403,0.00033,0.007254,-0.002382,0.002084,-0.026828,-0.027238,0.024775,0.030856,-0.017936,0.006113,-0.006706,-0.006422
Xu02-1a-2a,-0.005875,0.000336,0.004842,-0.000665,0.004505,-0.011648,-0.004086,0.03421,0.037784,-0.031054,0.017333,-0.021988,-0.008579
Xu02-7a-2a,-0.00178,0.000379,0.008717,0.001522,0.000253,0.028015,-0.039895,0.054842,0.014941,-0.011957,0.015216,-0.017315,-0.010284
Xu03-1a-2a,-0.005782,0.000306,0.00547,-0.00046,0.004233,-0.008589,-0.004739,0.030841,0.039052,-0.030856,0.017083,-0.021526,-0.008056
Xu03-7a-2a,-0.001552,0.000345,0.008794,0.001251,0.000691,0.032023,-0.041551,0.053264,0.015355,-0.012294,0.014761,-0.017731,-0.010575
Xu04-1a-2a,-0.005816,0.00028,0.001194,-0.003835,0.008844,-0.005392,0.03701,0.040669,0.017801,-0.054475,0.013208,-0.000441,-0.009908
Xu04-7a-2a,-0.002002,0.000353,0.009958,0.002141,0.002721,-0.007674,-0.015893,0.043937,0.016539,-0.009063,0.015376,-0.008134,-0.007376
Xu05-1a-2a,-0.005697,0.000332,0.00772,-0.002943,-0.001907,0.053229,-0.03242,0.027178,0.054636,-0.026411,0.017548,-0.008263,0.000849
Xu06-1a-2a,0.000546,0.000313,0.006737,-0.002028,-0.001717,0.040315,-0.058794,0.034622,0.040916,-0.005394,0.0164,-0.011546,0.0004
Xu07-1a-2a,-0.000297,0.000305,0.007546,-0.001402,0.005522,0.03579,-0.05886,0.036229,0.043474,-0.006619,0.016805,-0.011202,0.000493
Xu08-1a-2a,-0.00918,0.000262,0.006836,-0.001738,-0.001722,0.044956,-0.065582,0.033096,0.039547,0.008952,0.016412,-0.010572,0.001441
Xu08-1a-2c,-0.009334,0.000287,0.007208,0.001846,-0.001587,0.044773,-0.064626,0.033638,0.040599,0.007408,0.016912,-0.011079,0.001532
Xu08-1a-2d,-0.009499,0.000287,0.007048,0.001865,-0.001355,0.044686,-0.063795,0.032787,0.040618,0.007569,0.016581,-0.011062,0.001356
Xu08-1a-2f,-0.010177,0.000278,0.007062,-0.002794,-0.001752,0.047353,-0.065021,0.033237,0.038958,0.00785,0.016223,-0.011278,0.001841
Xu08-1a-2g,-0.009873,0.000284,0.006795,0.000348,-0.001686,0.056896,-0.069421,0.032913,0.032737,0.013728,0.016228,-0.010978,0.001969
